EVENTO,TIPO
Veicolo_in_avaria_11.0,int8
Ostacolo_in_carreggiata_4.0,int8
Regimazione_delle_acque_38.0,int8
Manutenzione_opere_in_verde_2.0,int8
Meteo_63.0,int8
Meteo_62.0,int8
Ostacolo_in_carreggiata_64.0,int8
Gestione_viabilita_6.0,int8
extended_accident_13.0,int8
Segnaletica_orizzontale_43.0,int8
Allarme_21.0,int8
Segnaletica_verticale_47.0,int8
extended_accident_17.0,int8
Allarme_59.0,int8
Meteo_56.0,int8
Barriere_45.0,int8
Gestione_viabilita_54.0,int8
Pavimentazione_26.0,int8
Pavimentazione_1.0,int8
Opera_arte_3.0,int8
extended_accident_12.0,int8
Ostacolo_in_carreggiata_19.0,int8
Ostacolo_in_carreggiata_22.0,int8
Gestione_viabilita_0.0,int8
Ostacolo_in_carreggiata_16.0,int8
Opera_arte_29.0,int8
Ostacolo_in_carreggiata_5.0,int8
Allarme_10.0,int8
Ostacolo_in_carreggiata_40.0,int8
Allarme_70.0,int8
Veicolo_in_avaria_18.0,int8
Veicolo_in_avaria_72.0,int8
Calamita_naturale_25.0,int8
Pavimentazione_15.0,int8
Ostacolo_in_carreggiata_8.0,int8
Ostacolo_in_carreggiata_9.0,int8
Allarme_31.0,int8
Calamita_naturale_66.0,int8
Ostacolo_in_carreggiata_14.0,int8
Opera_arte_42.0,int8
Ostacolo_in_carreggiata_46.0,int8
Gestione_viabilita_74.0,int8
Gestione_viabilita_65.0,int8
Allarme_44.0,int8
Allarme_78.0,int8
Meteo_67.0,int8
Gestione_viabilita_76.0,int8
Opera_arte_30.0,int8
Meteo_58.0,int8
Gestione_viabilita_85.0,int8
extended_accident_20.0,int8
Ostacolo_in_carreggiata_24.0,int8
Gestione_viabilita_68.0,int8
Ostacolo_in_carreggiata_23.0,int8
Segnaletica_verticale_34.0,int8
Pavimentazione_35.0,int8
extended_accident_27.0,int8
Opera_arte_55.0,int8
Calamita_naturale_39.0,int8
extended_accident_41.0,int8
extended_accident_37.0,int8
Pavimentazione_24.0,int8
Calamita_naturale_24.0,int8
Meteo_24.0,int8
Gestione_viabilita_69.0,int8
Pavimentazione_48.0,int8
Gestione_viabilita_60.0,int8
Barriere_36.0,int8
extended_accident_7.0,int8
Veicolo_in_avaria_50.0,int8
Ostacolo_in_carreggiata_52.0,int8
